rpm,status
inf,1
13333.33,1
30000.00,1
120000.00,1
30000.00,1
40000.00,1
120000.00,1
30000.00,1
40000.00,1
inf,1
15000.00,1
120000.00,1
40000.00,1
inf,1
60000.00,1
20000.00,0
40000.00,0
12000.00,0
30000.00,0
120000.00,0
4615.38,0
10909.09,0
15000.00,0
5454.55,1
40000.00,1
60000.00,1
24000.00,1
15000.00,1
60000.00,1
24000.00,1
12000.00,1
40000.00,1
inf,1
120000.00,1
40000.00,1
24000.00,1
inf,0
24000.00,0
30000.00,0
17142.86,0
inf,0
10000.00,0
10000.00,0
120000.00,0
4285.71,0
6666.67,1
12000.00,1
10909.09,1
60000.00,1
60000.00,1
inf,1
24000.00,1
40000.00,1
inf,1
60000.00,1
40000.00,1
120000.00,1
10000.00,0
10909.09,0
30000.00,0
inf,0
24000.00,0
6315.79,0
24000.00,0
24000.00,0
6315.79,0
8571.43,1
15000.00,1
10000.00,1
24000.00,1
10909.09,1
40000.00,1
inf,1
inf,1
40000.00,1
120000.00,1
6666.67,1
15000.00,0
30000.00,0
120000.00,0
8571.43,0
20000.00,0
24000.00,0
120000.00,0
6666.67,0
60000.00,0
3000.00,1
inf,1
24000.00,1
10909.09,1
60000.00,1
10000.00,1
10000.00,1
8571.43,1
10000.00,0
3529.41,0
120000.00,0
7500.00,0
inf,0
10909.09,0
30000.00,0
9230.77,0
8000.00,1
24000.00,1
7058.82,1
120000.00,1
inf,1
120000.00,1
24000.00,1
17142.86,1
40000.00,1
13333.33,1
40000.00,1
120000.00,0
120000.00,0
13333.33,0
6666.67,0
20000.00,0
10909.09,0
40000.00,0
40000.00,0
24000.00,0
17142.86,0
12000.00,1
30000.00,1
60000.00,1
15000.00,1
40000.00,1
40000.00,1
inf,1
120000.00,1
60000.00,1
8571.43,1
120000.00,1
8000.00,1
40000.00,1
30000.00,0
inf,0
8000.00,0
17142.86,0
3157.89,0
30000.00,0
40000.00,0
8571.43,0
60000.00,1
13333.33,1
17142.86,1
13333.33,1
20000.00,1
20000.00,1
30000.00,1
60000.00,1
inf,1
30000.00,1
40000.00,1
60000.00,1
40000.00,1
60000.00,0
40000.00,0
120000.00,0
2608.70,0
120000.00,0
9230.77,0
30000.00,0
10909.09,0
8000.00,1
40000.00,1
12000.00,1
20000.00,1
6315.79,1
20000.00,1
40000.00,1
17142.86,1
60000.00,1
60000.00,1
60000.00,0
12000.00,0
60000.00,0
30000.00,0
10000.00,0
15000.00,0
120000.00,0
17142.86,0
24000.00,0
5454.55,0
17142.86,1
inf,1
24000.00,1
120000.00,1
120000.00,1
20000.00,1
60000.00,1
12000.00,1
120000.00,1
40000.00,1
120000.00,1
40000.00,1
60000.00,1
60000.00,1
120000.00,1
120000.00,0
120000.00,0
inf,0
40000.00,0
9230.77,0
120000.00,0
120000.00,0
40000.00,0
13333.33,0
6666.67,0
60000.00,0
15000.00,0
15000.00,0
