temp1,temp2,trans1,trans2
29.94,29.94,1,0
29.94,29.94,1,0
29.94,30.00,1,0
30.00,30.00,1,0
30.00,30.00,1,0
30.06,30.00,1,0
30.12,30.00,1,0
30.25,30.00,1,0
30.37,30.00,1,0
30.50,30.00,1,0
30.56,30.00,1,0
30.75,30.06,1,0
30.87,30.00,1,0
31.00,30.06,1,0
31.19,30.06,1,0
31.31,30.06,1,0
31.44,30.06,1,0
31.62,30.06,1,0
31.75,30.06,1,0
31.94,30.06,1,0
32.06,30.06,1,0
32.25,30.06,1,0
32.38,30.06,1,0
32.56,30.06,1,0
32.69,30.06,1,0
32.88,30.12,1,0
33.00,30.12,1,0
33.19,30.12,1,0
33.31,30.12,1,0
33.50,30.12,1,0
33.69,30.12,1,0
33.81,30.12,1,0
33.94,30.12,1,0
34.06,30.19,1,0
34.25,30.19,1,0
34.38,30.19,1,0
34.50,30.19,1,0
34.56,30.19,1,0
34.69,30.19,1,0
34.81,30.19,1,0
34.94,30.19,1,0
35.06,30.19,1,0
35.25,30.19,1,0
35.31,30.19,1,0
35.44,30.19,1,0
35.56,30.19,1,0
35.63,30.25,1,0
35.75,30.25,1,0
35.88,30.25,1,0
36.00,30.25,1,0
36.13,30.25,1,0
36.25,30.25,1,0
36.31,30.31,1,0
36.44,30.31,1,0
36.56,30.31,1,0
36.69,30.31,1,0
36.75,30.31,1,0
36.81,30.31,1,0
36.94,30.37,1,0
37.06,30.37,1,0
37.13,30.37,1,0
37.25,30.37,1,0
37.38,30.37,1,0
37.44,30.44,1,0
37.56,30.44,1,0
37.63,30.44,1,0
37.75,30.44,1,0
37.81,30.44,1,0
37.94,30.44,1,0
38.00,30.50,1,0
38.13,30.50,1,0
38.19,30.50,1,0
38.31,30.50,1,0
38.38,30.50,1,0
38.44,30.56,1,0
38.56,30.56,1,0
38.63,30.56,1,0
38.69,30.56,1,0
38.75,30.56,1,0
38.81,30.62,1,0
38.94,30.62,1,0
39.00,30.62,1,0
39.06,30.62,1,0
39.13,30.62,1,0
39.19,30.69,1,0
39.31,30.69,1,0
39.38,30.69,1,0
39.44,30.69,1,0
39.50,30.75,1,0
39.56,30.75,1,0
39.63,30.75,1,0
39.69,30.75,1,0
39.75,30.75,1,0
39.81,30.75,1,0
39.88,30.81,1,0
39.94,30.81,1,0
40.00,30.81,1,0
40.06,30.81,1,0
40.06,30.87,1,0
40.13,30.87,1,0
40.19,30.87,1,0
40.25,30.87,1,0
40.25,30.87,1,0
40.31,30.87,1,0
40.38,30.94,1,0
40.44,30.94,1,0
40.44,30.94,1,0
40.50,30.94,1,0
40.56,30.94,1,0
40.63,31.00,1,0
40.69,31.00,1,0
40.75,31.00,1,0
40.81,31.00,1,0
40.81,31.06,1,0
40.88,31.06,1,0
40.94,31.06,1,0
41.00,31.06,1,0
41.06,31.06,1,0
41.06,31.12,1,0
41.13,31.12,1,0
41.19,31.12,1,0
41.19,31.12,1,0
41.25,31.12,1,0
41.31,31.19,1,0
41.38,31.19,1,0
41.38,31.19,1,0
41.44,31.19,1,0
41.44,31.25,1,0
41.50,31.25,1,0
41.56,31.25,1,0
41.63,31.25,1,0
41.63,31.25,1,0
41.69,31.25,1,0
41.69,31.31,1,0
41.75,31.31,1,0
41.81,31.31,1,0
41.81,31.31,1,0
41.88,31.31,1,0
41.88,31.37,1,0
41.94,31.37,1,0
42.00,31.37,1,0
42.00,31.37,1,0
42.00,31.37,1,0
42.06,31.37,1,0
42.06,31.44,1,0
42.13,31.44,1,0
42.13,31.44,1,0
42.13,31.44,1,0
42.19,31.44,1,0
42.19,31.44,1,0
42.19,31.50,1,0
42.25,31.50,1,0
42.25,31.50,1,0
42.31,31.50,1,0
42.31,31.50,1,0
42.38,31.50,1,0
42.44,31.56,1,0
42.44,31.56,1,0
42.44,31.56,1,0
42.50,31.56,1,0
42.50,31.56,1,0
42.50,31.56,1,0
42.50,31.62,1,0
42.56,31.62,1,0
42.56,31.62,1,0
42.63,31.62,1,0
42.63,31.62,1,0
42.69,31.62,1,0
42.69,31.62,1,0
42.75,31.69,1,0
42.75,31.69,1,0
42.81,31.69,1,0
42.81,31.69,1,0
42.88,31.69,1,0
42.88,31.75,1,0
42.94,31.75,1,0
42.94,31.75,1,0
42.94,31.75,1,0
42.94,31.75,1,0
43.00,31.75,1,0
43.00,31.81,1,0
43.06,31.81,1,0
43.06,31.81,1,0
43.06,31.81,1,0
43.06,31.81,1,0
43.13,31.81,1,0
43.13,31.81,1,0
43.13,31.81,1,0
43.19,31.87,1,0
43.19,31.87,1,0
43.19,31.87,1,0
43.25,31.87,1,0
43.25,31.87,1,0
43.25,31.87,1,0
43.31,31.94,1,0
43.31,31.94,1,0
43.31,31.94,1,0
43.31,31.94,1,0
43.38,31.94,1,0
43.38,31.94,1,0
43.38,31.94,1,0
43.44,32.00,1,0
43.44,32.00,1,0
43.50,32.00,1,0
43.44,32.00,1,0
43.50,32.00,1,0
43.50,32.00,1,0
43.50,32.00,1,0
43.50,32.06,1,0
43.56,32.00,1,0
43.56,32.06,1,0
43.56,32.06,1,0
43.56,32.06,1,0
43.56,32.06,1,0
43.56,32.06,1,0
43.56,32.06,1,0
43.56,32.06,1,0
43.56,32.06,1,0
43.56,32.06,1,0
43.56,32.06,1,0
43.56,32.06,1,0
43.56,32.06,1,0
43.63,32.06,1,0
43.69,32.06,1,0
43.69,32.13,1,0
43.69,32.13,1,0
43.75,32.13,1,0
43.75,32.13,1,0
43.75,32.13,1,0
43.81,32.19,1,0
43.81,32.19,1,0
43.81,32.19,1,0
43.81,32.19,1,0
43.88,32.19,1,0
43.88,32.19,1,0
43.88,32.19,1,0
43.88,32.19,1,0
43.88,32.19,1,0
43.88,32.19,1,0
43.88,32.19,1,0
43.88,32.19,1,0
43.81,32.19,1,0
43.75,32.19,1,0
43.75,32.19,1,0
43.81,32.19,1,0
43.81,32.19,1,0
43.88,32.19,1,0
43.81,32.19,1,0
43.88,32.19,1,0
43.88,32.25,1,0
43.88,32.25,1,0
43.88,32.25,1,0
43.94,32.25,1,0
43.88,32.25,1,0
43.88,32.25,1,0
43.94,32.25,1,0
43.94,32.25,1,0
43.94,32.25,1,0
43.94,32.31,1,0
43.94,32.31,1,0
44.00,32.31,1,0
44.00,32.31,1,0
43.94,32.31,1,0
43.94,32.31,1,0
43.94,32.31,1,0
43.94,32.31,1,0
43.94,32.31,1,0
44.00,32.31,1,0
44.00,32.31,1,0
44.00,32.31,1,0
44.00,32.31,1,0
44.00,32.31,1,0
44.00,32.31,1,0
44.06,32.38,1,0
44.06,32.38,1,0
44.00,32.31,1,0
44.00,32.31,1,0
44.00,32.31,1,0
44.00,32.31,1,0
44.06,32.31,1,0
44.06,32.31,1,0
44.06,32.31,1,0
44.06,32.38,1,0
44.06,32.38,1,0
44.06,32.38,1,0
44.13,32.38,1,0
44.13,32.38,1,0
44.13,32.38,1,0
44.19,32.38,1,0
44.19,32.38,1,0
44.19,32.44,1,0
44.19,32.44,1,0
44.19,32.38,1,0
44.19,32.44,1,0
44.19,32.44,1,0
44.25,32.44,1,0
44.25,32.44,1,0
44.25,32.44,1,0
44.25,32.50,1,0
44.31,32.44,1,0
44.31,32.50,1,0
44.25,32.44,1,0
44.25,32.50,1,0
44.25,32.50,1,0
44.25,32.44,1,0
44.25,32.44,1,0
44.25,32.50,1,0
44.25,32.44,1,0
44.25,32.50,1,0
44.25,32.50,1,0
44.25,32.50,1,0
44.25,32.50,1,0
44.31,32.50,1,0
44.31,32.50,1,0
44.31,32.50,1,0
44.31,32.50,1,0
44.31,32.50,1,0
44.31,32.50,1,0
44.31,32.50,1,0
44.31,32.56,1,0
44.31,32.56,1,0
44.31,32.56,1,0
44.31,32.56,1,0
44.38,32.56,1,0
44.38,32.56,1,0
44.38,32.63,1,0
44.38,32.63,1,0
44.38,32.63,1,0
44.44,32.63,1,0
44.44,32.63,1,0
44.44,32.63,1,0
44.44,32.63,1,0
44.44,32.63,1,0
44.44,32.56,1,0
44.44,32.56,1,0
44.38,32.56,1,0
44.38,32.56,1,0
44.44,32.63,1,0
44.44,32.63,1,0
44.50,32.63,1,0
44.50,32.63,1,0
44.44,32.63,1,0
44.44,32.56,1,0
44.44,32.56,1,0
44.44,32.56,1,0
44.44,32.56,1,0
44.44,32.56,1,0
44.50,32.63,1,0
44.50,32.63,1,0
44.44,32.63,1,0
